Issue key,Issue id,Status,Created,Updated,Custom field (Implementation Planned End Date),Custom field (Implementation Planned Start Date),Assignee,Custom field (Closed Date),Creator,Custom field (Defect Type),Custom field (Environment),Custom field (Feature Link),Custom field (How I Fixed (Resolution Provided)),Custom field (How It Happened? (Root Cause)),Summary,Custom field (Test Type)
INSBFOS-1619,397464,Closed,13/Sep/23 4:39 PM,15/Sep/23 10:05 AM,,,463346,15/Sep/23 10:05 AM,463346,Environment Error,UAT,INSBFOS-1089,DB TYPE was copied from Reg,DB Type was missing in the database,[QUEST-9986/INSBFOS-1619] #Defect 2: Unable to generate Cover Note & Policy Number,UAT
INSBFOS-1611,396820,Closed,12/Sep/23 2:52 PM,14/Sep/23 9:23 AM,,,463346,14/Sep/23 9:23 AM,463346,Environment Error,UAT,INSBFOS-1089,Merge the conflicts with Reg branch,"One of the fix previously fixed in Reg(for handling IC number not available), was creating conflict in current development",[QUEST-9986/INSBFOS-1611] #Defect 1: Unable to retrieve data in the response body,UAT
INSBFOS-1605,396721,Closed,12/Sep/23 11:52 AM,18/Sep/23 11:32 AM,,,463346,18/Sep/23 11:32 AM,463346,Environment Error,UAT,INSBFOS-58,"We didn't fix anything for this issue (defect#17). We suspect this activity ""file replacement for enabling log for other issue"" caused a problem. In future, we will make sure java file compiled properly after any file replacement.","For other issues reported under this CR, we had replaced java source (.class) file for enabling logs to troubleshoot that error. Usually we do deployment as whole, but due to urgency we replaced file directly to UAT server sometimes it might not work as expected - because of that file replacement,
this defect #17 might have occurred.",[QUEST-4324/INSBFOS-1605] #Defect 17: Extra Coverage E111 & E109 are not added into Cover Note issue from SOAP UI,UAT
INSBFOS-1593,394218,Closed,08/Sep/23 4:11 PM,15/Sep/23 4:50 PM,,,463346,15/Sep/23 4:50 PM,463346,Clarification,UAT,INSBFOS-58,"No fix given, its just clarification","No fix given, its just clarification",[QUEST-4324/INSBFOS-1593] #Defect 16: Endorsement – Cover Note issued without extra coverage (Transition Case) New Premium Recalculated,UAT
INSBFOS-1589,393235,Closed,07/Sep/23 9:14 AM,18/Sep/23 10:52 PM,,,C003602,18/Sep/23 10:52 PM,C003602,Program Error,UAT,INSBFOS-58,Modified the program to supply NCD Vehicle number as 'preVehNo' during ISM NCD Enquiry thereby retrieving the 'nxtNCDLevel' from ISM response and displaying the same in NCD Allowed %.,"After ISM VIX call, the 'preVehNo' was sent as null for ISM Enquiry and hence the NCD Allowed Percent was set as 0.",[QUEST-4324/INSBFOS-1589] #Defect 15: NCD Allowed Percent % not auto populate,UAT
INSBFOS-1587,392772,TEST IN PROGRESS,05/Sep/23 6:00 PM,13/Sep/23 9:16 AM,,,C003999,,C003999,Program Error,UAT,INSBFOS-58,Modified the program to retain the extra coverage premium separately in local storage and displaying the same in the grid.,"On adding E101 extra coverage, the extra coverage premium of E102 has been overridden and hence wrong premium was computed.",[QUEST-4324/INSBFOS-1587] #Defect 14: Endorsement remove Extra Coverage E102 did not refund as full,UAT
INSBBOS-624,391166,New,01/Sep/23 10:30 AM,01/Sep/23 10:32 AM,,,452175,,450001,Program Error,,,To be filled-up by developer upon fixes,To be filled-up by developer upon fixes,To integrate data from MOC Diamond tab 2 to GIS Memo screen,Data Migration
INSBFOS-1574,390996,Closed,30/Aug/23 6:35 PM,11/Sep/23 12:09 PM,,,C003602,11/Sep/23 12:09 PM,C003602,Parameter/Setup Error,UAT,INSBFOS-58,Suhaimi add E102 for MFP,The E102 are not setup for MFP subclass,[QUEST-4324/INSBBOS1574-] #Defect 13: Setup for E102 for Master Policy,UAT
INSBFOS-1569,390422,Closed,29/Aug/23 6:10 PM,07/Sep/23 8:00 AM,,,463346,04/Sep/23 5:02 PM,463346,Program Error,UAT,INSBFOS-58,Add back the header column section back into the script.,"The SoapUI Submission service request file is missing the header column section; thus, lead towards the Error timeout.",[QUEST-4324/INSBFOS-1569] #Defect : 12 Timeout error in SoapUI testing,UAT
INSBFOS-1568,390213,Closed,29/Aug/23 2:31 PM,01/Sep/23 9:26 AM,,,C004719,01/Sep/23 9:26 AM,C003602,Parameter/Setup Error,UAT,INSBFOS-58,Suhaimi setup for E109 in GIS for Master policy,the E109 not setup in GIS for Masterpolicy,[QUEST-4324/ INSBFOS-1568] #Defect 11: Setup for E109 for Masterpolicy,UAT
INSBFOS-1572,390033,Closed,29/Aug/23 11:11 AM,07/Sep/23 9:34 AM,,,463346,06/Sep/23 9:59 PM,463346,Environment Error,UAT,INSBFOS-58,The system was down due to maven jar files being referred internally in the new war file causing application to refer to old jar files. There is no issue in the application or environment. Its due to the maven build.,The system was down due to maven jar files being referred internally in the new war file causing application to refer to old jar files. There is no issue in the application or environment. Its due to the maven build.,[QUEST-4324/INSBFOS-1572] #Defect 10: Environment Issue in downtime in Diamond on 27/8/2023 - 28/8/2023,UAT
INSBFOS-1571,389999,Closed,29/Aug/23 10:57 AM,07/Sep/23 7:58 AM,,,463346,06/Sep/23 9:59 PM,463346,Environment Error,UAT,INSBFOS-58,The system was down due to maven jar files being referred internally in the new war file causing application to refer to old jar files. There is no issue in the application or environment. Its due to the maven build.,The system was down due to maven jar files being referred internally in the new war file causing application to refer to old jar files. There is no issue in the application or environment. Its due to the maven build.,[QUEST-4324/INSBFOS-1571] #Defect 9: Environment Issue in downtime in Diamond on 23/8/2023 - 24/8/2023,UAT
INSBFOS-1570,389947,Closed,29/Aug/23 10:10 AM,21/Sep/23 9:49 AM,,,463346,06/Sep/23 10:12 PM,463346,Program Error,UAT,INSBFOS-58,Handled by passing the NCD amount computed after NCD Enquiry thereby allowing the system to process the Premium request.,"The system validates NCD percent and NCD amount to be greater than zero on adding 'E111' extra coverage to the master list. Since the NCD amount was overridden and set to 0, the system unable to process the request and display the fault code.",[QUEST-4324/INSBBOS-1570] #Defect 8: Extra Coverage Not Matched in SoapUI testing,UAT
INSBFOS-1554,389921,Closed,29/Aug/23 9:35 AM,12/Sep/23 11:30 AM,,,462883,12/Sep/23 11:30 AM,462883,Program Error,UAT,INSBFOS-1348,Not printed FCI document list is generated from EDMS. Diamond will use this to change status in Diamond based on FCI documents which are not printed status.,Print status was updated in EDMS. Diamond did not change status once printed.,[Quest-8042/INSBFOS-1348/INSBFOS-1554] Defect 03: Document Status Did Not Change To 'Ready',UAT
INSBFOS-1553,389769,Closed,28/Aug/23 6:16 PM,06/Sep/23 9:57 PM,,,C003602,06/Sep/23 9:57 PM,C003602,Program Error,UAT,INSBFOS-58,Handled by passing the appropriate annual premium in tariff session object during refer risk approval thereby integrating the same to GIS.,"During detailed refer risk approval, the tariff annual premium was wrongly set in the session object and hence it is integrated wrongly to GIS.",[QUEST-4324/INSBFOS-1553] #Defect 7: Bus detariff TA level not tally with GLM,UAT
INSBFOS-1530,389345,Closed,28/Aug/23 10:50 AM,29/Aug/23 7:09 PM,,,C003602,29/Aug/23 7:09 PM,C003602,Clarification,UAT,INSBFOS-58,Handled by applying the final annual premium based on the cut-off indicator while computing extra coverage amount for E101 and E102 in short period rates.,Extra coverage premium was computed based on tariff annual premium for short period as the cut off indicator was sent as null.,[QUEST-4324/INSBFOS-1530] #Defect 6: Calculation for E101 and E102 for short period at endorsement page,UAT
INSBFOS-1518,388666,Closed,25/Aug/23 11:22 AM,29/Aug/23 2:43 PM,,,462811,29/Aug/23 2:43 PM,462811,Program Error,UAT,INSBFOS-58,Modified the query to retrieve the extra coverages with formula type id as null as well for Master / Fleet policy.,"The formula type id was null for 'E109' extra coverage in the master table. As the formula type id was not validated for null while fetching the extra coverage list for master/fleet policy, the system returns as invalid extra coverage.",[QUEST-4324/INSBFOS-1518] #Defect 5: Unable to add Extra Coverage 109 in Master Policy,UAT
INSBFOS-1509,387437,Closed,22/Aug/23 3:44 PM,28/Aug/23 11:07 AM,,,463346,28/Aug/23 11:07 AM,463346,Clarification,UAT,INSBFOS-58,"No action is required.
Cancel defect",The request-id '190193' was triggered after the cover note generation where the user has entered the same Vehicle Number 'POM9768' with some amendments in transaction which causes the extra coverage premium to be different from that of original cover note 'MV0571436'.er upon fixes,[QUEST-4324/INSBFOS-1509] #Defect 4: Extra coverage in Diamond is not tally with XML file,UAT
INSBFOS-1508,387101,Closed,21/Aug/23 5:46 PM,29/Aug/23 2:23 PM,,,C003602,29/Aug/23 2:23 PM,C003602,Program Error,UAT,INSBFOS-58,Modified the program to arrive Extra coverage premium based on the tariff details when the policy issue date is before cut-off date.,"During extra coverage Endorsement, the tariff premium details were overridden by the policy premium details and hence premium was computed wrongly.
",[QUEST-4324/INSBFOS-1508] #Defect 3: Endt Transition Case New Premium Recalculated,UAT
INSBFOS-1506,386873,Closed,21/Aug/23 12:47 PM,21/Aug/23 5:17 PM,,,C005119,21/Aug/23 5:17 PM,462883,Clarification,UAT,INSBFOS-1348,No action required as this is a reject defect,This is production behavior. Points will be assigned to FCI document based on the Number of certificates available in the downloaded document and 500 points accumulated for each certificate. ,[Quest-8042/INSBFOS-1348/INSBFOS-1506] Defect 02: Incorrect Reimbursement Point Assigned,UAT
INSBFOS-1502,385814,Closed,17/Aug/23 10:37 AM,22/Aug/23 9:58 AM,,,463346,22/Aug/23 9:58 AM,462962,Others,UAT,INSBFOS-58,Modified the validation to compare the cut-off date with cover note's original issue date thereby applying the old formula during detailed refer risk approval.,"During detailed refer risk approval, the system validates against the current date with the cut-off date and hence Premium was recalculated based on new formula.",[QUEST-4324/INSBFOS-1502] #Defect 2: Refer Risk Approval Transition Case New Premium Recalculated,UAT
INSBFOS-1501,385791,Closed,17/Aug/23 10:19 AM,12/Sep/23 11:30 AM,,,462883,12/Sep/23 11:30 AM,462883,Environment Error,UAT,INSBFOS-1348,DB Script was executed.,Column missing in the Database. ,[Quest-8042/INSBFOS-1348/INSBFOS-1501] Defect 01: Unable to download documents,UAT
INSBFOS-1499,381901,Closed,09/Aug/23 2:45 PM,17/Aug/23 11:26 AM,,,C005015,17/Aug/23 11:26 AM,C003602,Environment Error,,INSBFOS-58,updated the password for CRSRC2 environment.,GIS password expired. Thus integration failed. ,[QUEST-4324/INSBFOS-1499] #Defect 1: Unable to Integrate to GIS,UAT
INSBBOS-589,376863,Closed,28/Jul/23 4:33 PM,01/Aug/23 9:50 AM,,,462811,01/Aug/23 9:50 AM,462811,Program Error,UAT,INSBBOS-513,to handle renewal policy,didn't handle renewal policy,[QUEST-11548/INSBBOS-589] #Defect 8: Unable receive SMS after do Renewal Case,UAT
INSBBOS-580,374910,Closed,25/Jul/23 3:38 PM,01/Aug/23 10:55 AM,,,C006616,01/Aug/23 10:55 AM,463346,Program Error,UAT,INSBBOS-513,"for endorsement, need to extract policy level detail for proposal/covernote detail",for endorsement not able to extract proposal/covernote detail.,[QUEST-11548/INSBBOS-580] #Defect 7: Phone Number with more than 10 digits are not recognized by the system,UAT
INSBBOS-579,374733,Closed,25/Jul/23 11:47 AM,26/Jul/23 8:49 AM,,,462811,26/Jul/23 8:49 AM,462811,Program Error,UAT,INSBBOS-513,to able handle policy and endorsement together,not able to extract policy detail for endorsement,[QUEST-11548/INSBBOS-579] #Defect 6: Using office number Issue CN and not record in SMS Blast Enquiry,UAT
INSBBOS-578,374635,Closed,25/Jul/23 9:58 AM,27/Jul/23 5:13 PM,,,C005013,27/Jul/23 5:13 PM,463021,Program Error,Pre-Prod,INSBBOS-318,recompile the auto endorsement program.,comp file have missing program (4go).,[QUEST-6701/QUEST-8449/INSBBOS-578] #Defect 1: Error code in GIS,Operation Readiness Test (ORT)
INSBBOS-577,374336,Closed,24/Jul/23 4:17 PM,26/Jul/23 8:49 AM,,,462811,26/Jul/23 8:49 AM,462811,Program Error,UAT,INSBBOS-513,filter criteria corrected,filter criteria not able to exclude agent not in setup.,[QUEST-11548/INSBBOS-577] #Defect 5: Did not set the Agent Code in Agent Maintenance Screen but still get SMS,UAT
INSBBOS-575,373919,Closed,21/Jul/23 4:30 PM,26/Jul/23 8:14 AM,,,462811,26/Jul/23 8:14 AM,462811,Program Error,UAT,INSBBOS-513,to fix criteria on selection to be able pick the record,selection criteria not able to extract the record,[QUEST-11548/INSBBOS-575] #Defect 4: Unable to get SMS,UAT
INSBBOS-574,373763,Review In progress,21/Jul/23 12:43 PM,21/Jul/23 1:32 PM,,,401181,,407699,Program Error,Production,,To be filled-up by developer upon fixes,To be filled-up by developer upon fixes,[BAU- Diamond Production]motor endt POI is computed extra 1day,
INSBBOS-572,373603,New,21/Jul/23 9:38 AM,28/Jul/23 9:27 AM,,,407699,,407699,Program Error,Production,,"For trailer cases, Trailer sum is considered for validating with the Flex guide Sum Insured setup.",For trailer cases as the system incorrectly validated with the Sum Insured (0.0) instead of Trailer Sum in transaction with the Flex guide Sum Insured setup.,[BAU- Diamond Production] system prompt decline risk for trailer SI less than 50K,
INSBFOS-1472,373594,Closed,21/Jul/23 9:31 AM,01/Aug/23 9:32 AM,,,462811,01/Aug/23 9:32 AM,462811,Environment Error,UAT,INSBBOS-513,Firewall access requested ,New Diamond UAT Environment blocked by Firewall,[QUEST-11548/INSBBOS-1472] #Defect 3: Cannot proceed to the next screen in Online Insurance,UAT
INSBFOS-1471,372521,Closed,18/Jul/23 5:58 PM,19/Jul/23 7:56 PM,,,462962,19/Jul/23 7:56 PM,462962,Design Error,Pre-Prod,INSBFOS-643,Query has been changed now to display submission date only for new business and endorsement with JPJ cover notes.,"In existing query wrongly fetched submission date for Non-JPJ cover note types So, ""Submitted JPJ On"" column displays date in CBC Direct Report.","[QUEST-7246/INSBFOS-1471] #Defect 2: ""Submitted JPJ On"" column in CBC Direct Report have date captured for Endorsement without JPJ",Operation Readiness Test (ORT)
INSBFOS-1427,370476,Closed,13/Jul/23 5:00 PM,17/Jul/23 6:34 PM,,,463020,17/Jul/23 6:34 PM,463020,Others,Pre-Prod,INSBFOS-1268,"changed the browser setting to enable pop-up, issued new case for retest",It was due to browser's setting that blocked the pop up message,[QUEST 11508/INSBFOS-1427] Defect 1: Unable to generate Endorsement Slip after click submit and print,Operation Readiness Test (ORT)
INSBFOS-1423,369972,Closed,12/Jul/23 5:28 PM,15/Aug/23 4:24 PM,,,462962,17/Jul/23 6:29 PM,462962,Exist In Production,Pre-Prod,INSBFOS-643,Data loading query has been changed now to load the endorsement Refund Premium/Zero Premium cover note details in second grid.,"In existing query condition is wrongly checked So, unable to load the endorsement Refund Premium/Zero Premium cover note details in second grid.",[QUEST-7246/INSBFOS-1423] #Defect 1: Endorsement Cover Note with ZERO PREMIUM/REFUND PREMIUM Unable to be listed in Second Grid in CBC Reports - Submission Report for All Channel,Operation Readiness Test (ORT)
INSBBOS-568,369431,Closed,11/Jul/23 3:12 PM,24/Jul/23 9:30 AM,,,462811,24/Jul/23 9:28 AM,462811,Program Error,UAT,INSBBOS-513,"apply logic when ""commit"" command, allow to perform modification","during modification after user commit, should allow modification","[QUEST-11548/INSBBOS-568] #Defect 1: Campaign SMS - Agent Maintenance Modify screen when press ""F2"" not function",UAT
INSBFOS-1404,367678,Closed,06/Jul/23 2:00 PM,08/Jul/23 2:02 AM,,,463021,07/Jul/23 5:40 PM,463021,Program Error,Pre-Prod,INSBFOS-1213,Executed required DB script related to marine consignee CR.,DB scripts are not available in database level.,[QUEST-11345/INSBFOS-1404] #Defect 1: Diamond could not issue cover note,Operation Readiness Test (ORT)
INSBBOS-559,366498,Closed,04/Jul/23 5:23 PM,05/Jul/23 10:41 PM,,,463021,05/Jul/23 10:41 PM,463021,Program Error,UAT,INSBBOS-318,Modified the query to retrieve the model id as in make-model search for 'Motor Trade' vehicle type.,"During policy search, as the class id was considered in fetching the model id for 'Motor Trade' vehicle type, the model id was not set as there was no mapping based on class id in vehicle model table for 'Motor Trade'.",[QUEST-6701/QUEST-8449/INSBBOS-559] #Defect 7: Vehicle make and model code is NULL for Motor Trade,UAT
INSBFOS-1384,363292,Closed,24/Jun/23 10:15 PM,03/Jul/23 2:38 PM,,,C006616,03/Jul/23 2:38 PM,462962,Design Error,UAT,INSBFOS-643,"Change the query to considered the Status(Blocked or Release)'CHR_ACTIVE_STATUS' column in EIS_TRN_CBC_MANUAL_BLOCK table. When status is 'Released'
CBC Block Email won't attaching the already submitted cover notes to respective blocked Intermediaries.
","Based on the analysis, In select query for Email, we miss to considered the Status(Blocked or Release)'CHR_ACTIVE_STATUS' column in EIS_TRN_CBC_MANUAL_BLOCK table.
So, CBC Block Email sent, wrongly attaching already submitted cover notes to respective blocked Intermediaries.",[QUEST-7246/INSBFOS-1384] #Defect 18: Block Transaction Email consists of 'Submitted' status Cover Notes when doing Renewal case,
INSBFOS-1383,363257,Closed,23/Jun/23 9:59 PM,03/Jul/23 2:39 PM,,,C006616,03/Jul/23 2:39 PM,462962,Clarification,UAT,INSBFOS-643,"Check the Block Transaction Email after the 'Submission Pending' status cover note is blocked, which is after grace period, then it will be listed in the Email","The Block Transaction Email was checked when the 'Submission Pending' status cover note is still not blocked as grace period is considered, so it will not be listed in the Email.",[QUEST-7246/INSBFOS-1383] #Defect 17: 'Submission Pending' status Cover Note Not listed in CBC Block Transaction Email,
INSBFOS-1382,363256,Closed,23/Jun/23 9:52 PM,26/Jun/23 7:49 PM,,,462962,26/Jun/23 7:49 PM,462962,Program Error,UAT,INSBFOS-643,"Change the query to considered the Status(Blocked or Release)'CHR_ACTIVE_STATUS' column in EIS_TRN_CBC_MANUAL_BLOCK table. When the status is 'Released', so the CBC Block Email won't be attaching the already submitted cover notes to respective blocked Intermediaries.
","Based on the analysis, In select query for Email, we miss to considered the Status(Blocked or Release)'CHR_ACTIVE_STATUS' column in EIS_TRN_CBC_MANUAL_BLOCK table.
So, CBC Block Email sent, wrongly attaching already submitted cover notes to respective blocked Intermediaries.",[QUEST-7246/INSBFOS-1382] #Defect 16: Submitted Cover Note Listed in CBC Block Transaction Email,
INSBFOS-1381,363255,Closed,23/Jun/23 9:40 PM,26/Jun/23 7:58 PM,,,462962,26/Jun/23 7:58 PM,462962,Design Error,UAT,INSBFOS-643,If grace period needs to be considered the intermediary cannot have any 'Approved' Status cover notes.,"System will be blocked base on ""Approved"" covernote, even if there are other cover notes having 'Submission Pending' cover notes.",[QUEST-7246/INSBFOS-1381] #Defect 15: Grace Period is Not considered,
INSBFOS-1380,363254,Closed,23/Jun/23 9:27 PM,26/Jun/23 7:46 PM,,,C006616,26/Jun/23 7:46 PM,462962,Clarification,UAT,INSBFOS-643,Payment Reminder Email/SMS should be checked on the last day of grace period.,The Payment Reminder Email/SMS will not be received on the last day of days allowed but instead it was sent on the last day of grace period when the intermediary have one cover note 'Submission Pending' status because grace period will be considered.,[QUEST-7246/INSBFOS-1380] #Defect 14: Payment Reminder Email/SMS not received on last day of days allowed for payment before CBC Block,UAT
INSBFOS-1371,361984,Closed,21/Jun/23 4:41 PM,24/Jun/23 2:02 AM,,,462883,23/Jun/23 3:04 PM,462883,Others,UAT,INSBFOS-450,No action is required. this is reject defect,"This is existing production behavior, not defect. Paid CN cannot be paid second time in eSOA screen.",[Quest-5849/INSBFOS-450/INSBFOS-1371]Defect 06: Pop-Up Message Shown When Transaction Is Selected To Make Payment,UAT
INSBFOS-1370,361869,Closed,21/Jun/23 2:42 PM,24/Jun/23 2:02 AM,,,C006616,22/Jun/23 9:37 PM,462962,Parameter/Setup Error,UAT,INSBFOS-643,Checked in server level and fixed by removing old war and retained new war in CBC UAT Environment and now Intermediary will be Released after CBC Block only making payment,"Due to Deployment problem in CBC UAT Environment Intermediary will be Released after CBC Block without making payment. Both wars (Old and New) were concurrently working, when we execute the oracle job Intermediary is blocked, 
Old War CBC Release Cron method executes every 5 minutes. So, it release the blocked Intermediary in EIS_TRN_CBC_MANUAL_BLOCK table.",[QUEST-7246/INSBFOS-1370] #Defect 13: Intermediary will be Released after CBC Block without making payment,Unit Test
INSBFOS-1369,360973,Closed,20/Jun/23 11:22 AM,26/Jun/23 12:10 PM,,,462883,26/Jun/23 12:10 PM,462883,Program Error,UAT,INSBFOS-450,Program logic has been modified to sorting ESOA records based on the ditm_sort_no column value and valid ESOA records become eligible for selection.,"Due to matched policies were not displayed in Ascending order(Defect#04), Grid checkbox became disabled for valid ESOA record(>RM0) and not allowed for selection.",[Quest-5849/INSBFOS-450/INSBFOS-1369]Defect 05: Unable To Make Payment For Transactions With Net Due Amount > RM0,UAT
INSBBOS-552,359789,Closed,16/Jun/23 4:19 PM,28/Jun/23 1:41 PM,,,463021,28/Jun/23 1:41 PM,463021,Program Error,UAT,INSBBOS-318,New enhancement to handle business logic based on previous MG/ME endorsement is done. ,New enhancement to handle business logic based on previous MG/ME endorsement is done. ,[QUEST-6701/QUEST-8449/INSBBOS-552] #Defect 6: System allowed to perform endorsement in Diamond after completing GIS sum insured change,UAT
INSBFOS-1366,359730,Closed,16/Jun/23 2:59 PM,26/Jun/23 10:59 AM,,,462883,26/Jun/23 10:59 AM,462883,Program Error,UAT,INSBFOS-450,Program logic has been modified to sorting ESOA records based on the ditm_sort_no column value and re-arranged columns in query which are involved for Ascending order.,Program is not handled as per sorting column name updated in the latest FRS document(column name changed from ditm_item_no to ditm_sort_no) and the effective date column is null for one of the matched records which causes ascending order was not happened,[Quest-5849/INSBFOS-450/INSBFOS-1366]Defect 04: Matched Policies Did Not Display By Ascending Order,UAT
INSBFOS-1364,359495,Closed,16/Jun/23 9:58 AM,22/Jun/23 10:50 AM,,,453228,22/Jun/23 10:50 AM,462883,Program Error,UAT,INSBFOS-450,"QA to need to use correct MPGS test card number, EG. 5555555555000018 and 4440000042200014",If used the MPGS test card(4111 1111 1111 1111) is default to credit card ,[Quest-5849/INSBFOS-450/INSBFOS-1364]Defect 03: Incorrect Payment Mode Shown in Printout,UAT
INSBFOS-1363,358969,Closed,15/Jun/23 11:06 AM,04/Jul/23 11:33 AM,,,C006616,04/Jul/23 11:33 AM,462962,Data Error,UAT,INSBFOS-643,"Since Manual Update JPJ will not have data displayed under ""Accepted by JPJ On"" column, the JPJ UAT in the environment needs to be enabled and have connection. After the JPJ connection is up, JPJ Test Data will be required when do testing so that the JPJ Status can be updated to ""Accepted by JPJ"" and the ""Accepted by JPJ On"" column will have data.","System will not display data under ""Accepted by JPJ On"" when there is a manual update happens. 
It will display ""Accepted by JPJ On"" only when there is a job/automatic update happens. 
Also, for Non JPJ Endorsement type covernotes system will not be considered JPJ Status so it wont display under ""Accepted by JPJ On"" column.","[QUEST-7246/INSBFOS-1363] #Defect 12: CBC Non Compliance Summary Report ""Accepted by JPJ On"" column is empty",UAT
INSBFOS-1357,358923,Closed,15/Jun/23 9:48 AM,20/Jun/23 4:10 PM,,,463021,20/Jun/23 4:10 PM,463021,Parameter/Setup Error,UAT,INSBFOS-1213,Issue is due to latest package is not available in this DB environment,Issue is due to latest package is not available in this DB environment,[QUEST-11345/INSBFOS-1357] #Defect 1: Jenkin Job 154b did not capture whole data from Diamond,UAT
INSBFOS-1354,358888,Closed,15/Jun/23 8:56 AM,21/Jun/23 2:01 PM,,,462811,21/Jun/23 2:01 PM,462811,Design Error,UAT,INSBFOS-643,New condition has been changed now able to display correct pop-up message content in quick approve refer risk.,"In existing code cover note type condition is not checked for motor and endorsement. So, it displays wrong pop-up message content in quick approve refer risk.",[QUEST-7246/INSBFOS-1354] #Defect 11: Incorrect Quick Approve Refer Risk CBC pop-up message content,UAT
